"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,4156,,,5086774,585841,
2009,4842,,,5556965,706864,
2010,5761,,1,6010762,768247,
2011,13362,163,1,6333993,801533,
2012,23648,3712,1,6619684,860290,
2013,44284,32486,23,6801264,924456,
2014,71140,56773,54,6924198,998946,
2015,112088,125792,193,7084129,1058943,
2016,162949,189178,366,7225349,1086158,
2017,247765,255425,523,7258793,1109099,
2018,380650,350243,708,7625977,1155056,
2019,630153,475509,1157,7749328,1192385,13
2020,1137068,951425,1799,7690124,1223448,10
2021,1994004,1791922,2637,7685649,1216815,8
2022,3084231,2630580,3890,7741402,1224667,63
2023,4424292,3326542,3910,8010139,1235128,50
2024,5796969,3982135,4209,8224537,1229020,50
2025,6182931,4145496,4134,8300928,1227268,50