"Category","AC","DC"
"2020 Q1",2.54,-39.12
"2020 Q2",9.36,19.73
"2020 Q3",6.09,13.15
"2020 Q4",11.73,76.8
"2021 Q1",12.41,-2.02
"2021 Q2",9.09,9.22
"2021 Q3",36.57,32.59
"2021 Q4",5.05,10.73
"2022 Q1",6.64,12.34
"2022 Q2",11.28,15.77
"2022 Q3",8.61,22.68
"2022 Q4",13.37,20.53
"2023 Q1",10.12,20.72
"2023 Q2",8.96,15.62
"2023 Q3",7.89,13.89
"2023 Q4",5.46,15.19
"2024 Q1",8.53,14.92
"2024 Q2",10.17,16.76
"2024 Q3",2.63,9.01
"2024 Q4",10.12,15.47
"2025 Q1",5.21,9.39
"2025 Q2",5.44,9.93